Labour force characteristics,Sex,Age group,Reference period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
Participation rate 8,Both sexes,55 years and over,2019,37.9,31.9,41.3,33.9,34.3,34.7,38.2,39,43,44.6,38.6
Participation rate 8,Both sexes,55 years and over,2020,36.8,28.5,39.6,32.5,33.9,33.7,37.9,38.3,40.6,41.8,37.3
Participation rate 8,Both sexes,55 years and over,2021,37.3,29.9,39.1,34.3,33.4,34.1,38.5,37.6,39.4,42.4,37.6
Participation rate 8,Both sexes,15 to 64 years,2019,78.7,73.2,80.9,77.3,77.1,80.1,77.3,78.7,80,80.7,79.5
Participation rate 8,Both sexes,15 to 64 years,2020,77.4,72,78.5,75.2,76.7,79.6,76.1,77.8,78.9,79,77
Participation rate 8,Both sexes,15 to 64 years,2021,79.1,73.3,79.8,77.9,78,80.5,78.1,79.5,80.2,80,79.9
Participation rate 8,Both sexes,15 to 19 years,2019,50.7,44.8,54.9,57.2,54.6,58.8,47.3,50.4,49.7,47.5,50.6
Participation rate 8,Both sexes,15 to 19 years,2020,47.8,44.2,48.9,48.9,54,56.9,43.6,50,48.3,46.6,46.3
Participation rate 8,Both sexes,15 to 19 years,2021,49.7,47.2,52.7,52.5,56.9,57.4,45,51.4,51.2,47,52.1
Participation rate 8,Both sexes,20 to 24 years,2019,77.1,75.4,83.6,80.7,78.5,79.9,73.5,81.1,79.5,80.6,78.6
Participation rate 8,Both sexes,20 to 24 years,2020,73.9,73.3,78.1,76.9,75.6,79,71.3,75,77.6,75.1,71.7
Participation rate 8,Both sexes,20 to 24 years,2021,76,76,78.4,81.1,79.1,78.5,73.1,80.5,78.3,76.7,77.4
Participation rate 8,Both sexes,25 to 29 years,2019,86.5,84.2,87.6,85.2,85,87.4,85.8,84.5,86.3,87.1,87.5
Participation rate 8,Both sexes,25 to 29 years,2020,84.4,81.2,85.3,83.3,85,86.9,83.5,83.9,85.1,84.7,83.6
Participation rate 8,Both sexes,25 to 29 years,2021,86.4,81.9,87,86,86.2,87.6,85.5,85.1,85.3,86.9,87.9
Participation rate 8,Both sexes,30 to 34 years,2019,87.1,83.9,88.6,87.6,86.9,88.6,85.9,85.3,86.8,87,89
Participation rate 8,Both sexes,30 to 34 years,2020,86.7,82.8,86.7,87,85,89.2,85.6,84.7,85.9,87.3,86.4
Participation rate 8,Both sexes,30 to 34 years,2021,88.1,86.6,92.4,89.2,87.5,88.7,88,86.6,89.1,86.9,88.8
Participation rate 8,Both sexes,35 to 39 years,2019,87.5,84,89.9,87.4,86.3,89.5,85.5,88,89.5,88.4,88.7
Participation rate 8,Both sexes,35 to 39 years,2020,86.7,86.8,88.8,89.3,86.6,89.9,84.7,86.4,88.7,87.2,85.6
Participation rate 8,Both sexes,35 to 39 years,2021,88.2,85.8,89.2,88,88.3,90.1,87,87.6,90.6,87.5,88.7
Participation rate 8,Both sexes,40 to 44 years,2019,88.6,87.7,90.6,88.9,89,90.5,87.3,87.6,89.6,89.8,88.1
Participation rate 8,Both sexes,40 to 44 years,2020,87.3,84.9,86.4,88.1,87.1,89.3,85.9,87.5,88.9,86.7,87.8
Participation rate 8,Both sexes,40 to 44 years,2021,88.7,85.2,89.4,88.6,89.5,91,87.4,89.8,89.5,87.7,88.7
Participation rate 8,Both sexes,45 to 49 years,2019,88.5,84.3,88.5,86.6,86.9,91.1,87.3,88,89.4,89.4,88.3
Participation rate 8,Both sexes,45 to 49 years,2020,87.3,83.8,89.4,85.6,86.8,89.3,85.7,88.1,90.1,87.8,88.1
Participation rate 8,Both sexes,45 to 49 years,2021,88.4,83.2,87.8,87.3,89,89.9,87.9,88.8,90.3,88.3,87.7
Participation rate 8,Both sexes,50 to 54 years,2019,85.8,77.2,85.5,84.2,83.8,87.2,85.2,86,86.6,87,85.6
Participation rate 8,Both sexes,50 to 54 years,2020,85,79.8,89,82.3,86.4,86.8,84.1,86,87.1,86.1,84
Participation rate 8,Both sexes,50 to 54 years,2021,86.5,81.9,86.5,84.7,84.2,88.4,85.7,87.7,87,88.2,85.1
Participation rate 8,Both sexes,55 to 59 years,2019,75.4,69.3,77.3,70.8,72.5,75.3,74.8,77.5,78.7,77.7,76.2
Participation rate 8,Both sexes,55 to 59 years,2020,75.4,65.7,75.4,71.1,72.5,74.9,75.8,77.8,76.6,77.8,75
Participation rate 8,Both sexes,55 to 59 years,2021,77.1,68.4,78.3,71.7,72.2,77.6,76.7,76.8,79.2,80.2,77.3
Participation rate 8,Both sexes,60 to 64 years,2019,56.1,47.7,64,51.4,53.3,51.5,57.4,56.7,60.8,62.5,57.4
Participation rate 8,Both sexes,60 to 64 years,2020,55.4,44.7,59.8,46.2,52.9,52,56.9,56.2,57.9,60.5,55.8
Participation rate 8,Both sexes,60 to 64 years,2021,57.9,46.1,60.5,54.3,53.5,53.6,60,57.9,57.8,61.6,59.4
Participation rate 8,Both sexes,65 years and over,2019,14.6,11.1,18,12.4,12.1,11.8,14.8,15.5,20.2,19.6,15.9
Participation rate 8,Both sexes,65 years and over,2020,13.8,8.6,18.4,12.6,12.3,10.6,14.5,15.2,18.7,16.3,15.6
Participation rate 8,Both sexes,65 years and over,2021,14,10.2,17.4,13.4,12.2,10.9,14.9,14.5,16.9,17.4,14.9
Participation rate 8,Both sexes,65 to 69 years,2019,28.2,21.3,33.3,23.9,21.6,23.4,28.7,29.2,36.4,36.3,30.5
Participation rate 8,Both sexes,65 to 69 years,2020,26.4,17,33,23.9,23.1,21.2,28.7,27.9,30.3,27.6,29.3
Participation rate 8,Both sexes,65 to 69 years,2021,27.5,20.1,31.4,26,23.1,22.3,30,27.4,27,31.7,29
Participation rate 8,Both sexes,70 years and over,2019,8,5.3,10.2,6.7,7.2,6.1,8.3,8.7,12.1,10.5,8.6
Participation rate 8,Both sexes,70 years and over,2020,7.7,3.9,11.2,7.1,6.9,5.6,7.8,8.9,12.8,10.1,9
Participation rate 8,Both sexes,70 years and over,2021,7.5,5.2,10.7,7.3,6.9,5.5,7.9,8.1,11.6,9.5,8.2
Participation rate 8,Males,15 years and over,2019,70.1,62.3,70.7,64.7,64.8,68.6,69.5,72.1,73.8,76.4,70
Participation rate 8,Males,15 years and over,2020,68.7,59,68.4,62.9,64.4,67.6,68.4,71.1,72.5,74.3,68
Participation rate 8,Males,15 years and over,2021,69.6,60.4,70.6,64.7,64.1,68.1,69.7,71.5,72.4,74.1,69.9
Participation rate 8,Males,15 to 24 years,2019,64.5,61.2,70.8,68.8,68,68.9,61.5,66.9,66.6,65.4,64.3
Participation rate 8,Males,15 to 24 years,2020,62.2,57.8,65.7,65.4,67.8,68.3,58.9,63.1,64.1,61.8,61.5
Participation rate 8,Males,15 to 24 years,2021,63.8,62.8,70,66.8,69.6,67.8,60.5,66.8,66.4,62.4,66.6
Participation rate 8,Males,25 years and over,2019,71.1,62.4,70.7,64,64.3,68.6,71.1,73.2,75.1,78.4,71
Participation rate 8,Males,25 years and over,2020,69.8,59.3,68.9,62.5,63.9,67.5,70.2,72.8,74.1,76.6,69.2
Participation rate 8,Males,25 years and over,2021,70.6,60,70.7,64.3,63.3,68.1,71.4,72.4,73.5,76.2,70.5
Participation rate 8,Males,25 to 44 years,2019,91.4,88.7,91.8,89.2,88.8,91.2,90.7,92.5,92.8,93.7,92
Participation rate 8,Males,25 to 44 years,2020,90.2,85.6,89.3,88.1,88.1,91,89.4,91.5,92.5,91.7,89.9
Participation rate 8,Males,25 to 44 years,2021,91.7,86.6,91.7,90.6,89.5,91.9,91.1,92.4,93.7,93.1,92.2
Participation rate 8,Males,45 to 64 years,2019,81.1,74,82.2,75.7,77.1,79.9,81.2,82.2,82.9,85.1,82
Participation rate 8,Males,45 to 64 years,2020,80.5,72.6,80.1,73.2,77.9,79.3,80.7,83.2,82.2,85.4,80.1
Participation rate 8,Males,45 to 64 years,2021,81.9,73.4,83.3,76.2,76.9,80.7,82.6,83,82.3,84.4,82.5
Participation rate 8,Males,45 years and over,2019,58.1,50.8,59.7,51.8,52.9,55.1,58.5,59.8,62.5,65.8,57.9
Participation rate 8,Males,45 years and over,2020,56.8,47.8,58.4,49.9,52.6,53.5,57.7,59.7,61.1,64.4,56.1
Participation rate 8,Males,45 years and over,2021,57.2,48.6,59.3,51.3,51.3,54.2,58.6,58.5,59.4,62.7,56.8
Participation rate 8,Males,25 to 54 years,2019,91.1,86.7,90.9,88.5,88,91.2,90.4,92,92.4,93.6,91.7
Participation rate 8,Males,25 to 54 years,2020,90.1,84.9,89.5,87.3,88.7,90.7,89.4,91.4,92.3,91.9,89.7
Participation rate 8,Males,25 to 54 years,2021,91.5,85.9,91.4,89.5,88.9,91.6,91,92.4,93.2,92.8,92.1
Participation rate 8,Males,55 years and over,2019,44,37.7,47.6,38.6,39.7,40.6,44.4,46,50.4,51.5,44.1
Participation rate 8,Males,55 years and over,2020,43,34,45.8,37.2,39,39.4,44.1,46.2,48.5,50.2,42.8
Participation rate 8,Males,55 years and over,2021,43.4,35.5,46.9,39.1,38.1,40.2,45.1,44.2,46.3,47.9,43.2
Participation rate 8,Males,15 to 64 years,2019,82.2,76.9,83.3,79.2,79.7,82.6,81,83.3,84,85.4,82.8
Participation rate 8,Males,15 to 64 years,2020,81.1,74.5,80.3,77.3,79.8,82.3,79.9,82.5,83.1,84,80.7
Participation rate 8,Males,15 to 64 years,2021,82.6,76.1,83.4,79.9,80.2,83.2,81.8,83.6,84.1,84.3,83.7
Participation rate 8,Males,15 to 19 years,2019,49.4,45,51.1,52.3,54.7,56.5,46,49.3,50.4,48.2,48.8
Participation rate 8,Males,15 to 19 years,2020,46.6,39.4,48.9,49.2,53.5,54.9,42.8,49.3,47.6,45.3,44.8
Participation rate 8,Males,15 to 19 years,2021,48.4,44.9,52.1,49.8,56.4,56.2,44.1,49.4,51.6,45.6,50.1
Participation rate 8,Males,20 to 24 years,2019,77.2,76.5,86.4,82.3,80.4,79.2,74.1,82.6,81.1,81.2,76.7
Participation rate 8,Males,20 to 24 years,2020,75.1,74.7,77.4,78.5,80.5,79.7,72,74.7,79.3,76.8,74.6
Participation rate 8,Males,20 to 24 years,2021,76.8,79.2,82.5,80.5,81.3,77.9,73.9,81.5,79.9,78.1,79.5
Participation rate 8,Males,25 to 29 years,2019,88.4,89,90.2,88,85.2,87.7,87.5,90.6,90.4,90.4,89.4
Participation rate 8,Males,25 to 29 years,2020,86.7,85.9,87,82,84.4,87.6,85.9,88.7,90,87.7,86.5
Participation rate 8,Males,25 to 29 years,2021,88.6,84.2,87.9,90.1,88.3,88.8,87.8,88.5,90.4,91.1,88.5
Participation rate 8,Males,30 to 34 years,2019,92.4,88.7,90.7,90.9,91.3,91.4,92.2,92.5,93.2,94.2,93.1
Participation rate 8,Males,30 to 34 years,2020,91.1,81.7,88.6,89,90.5,92.7,89.4,92.2,93.6,94.2,90.6
Participation rate 8,Males,30 to 34 years,2021,92.3,88.7,93.3,90.1,90.1,92.1,91.8,93.7,94.9,93.5,92.4
Participation rate 8,Males,35 to 39 years,2019,92.8,88.5,95.1,88.5,88.2,92.5,92.2,94.6,95,95,93.2
Participation rate 8,Males,35 to 39 years,2020,91.6,89.1,91.7,92.8,89.5,91.4,91.5,92.9,93.1,93,90.3
Participation rate 8,Males,35 to 39 years,2021,93.4,88.9,91.3,90.8,89.4,93.1,93.3,93.2,94.7,94.3,94.1
Participation rate 8,Males,40 to 44 years,2019,92.4,88.7,89.6,89.4,90.6,93.3,91.2,92.3,92.8,95.2,92.4
Participation rate 8,Males,40 to 44 years,2020,91.7,86.4,90.2,89.1,88.6,92.4,91.3,92.6,93.4,91.4,92.6
Participation rate 8,Males,40 to 44 years,2021,92.7,85.6,93.2,91.6,90.4,93.6,91.8,94.3,94.2,92.9,94
Participation rate 8,Males,45 to 49 years,2019,91.7,87,91.3,88.5,88.1,92.6,90.7,93.5,93,94.1,92.3
Participation rate 8,Males,45 to 49 years,2020,90.9,85.3,93.2,89.6,90.8,91.1,90.5,93,92.9,92.4,90.4
Participation rate 8,Males,45 to 49 years,2021,92.3,84.8,93.5,90,90.7,92.4,92.3,93.2,93.9,92.7,92.3
Participation rate 8,Males,50 to 54 years,2019,89.4,80.9,87.5,86.7,85.6,89.8,88.9,88.9,89.9,92.6,89.8
Participation rate 8,Males,50 to 54 years,2020,88.8,82.7,87.5,82.8,87.9,89.1,88.5,89.5,91.2,92,88.1
Participation rate 8,Males,50 to 54 years,2021,90,85.4,90.4,84.8,84.4,89.6,89.8,91.3,90,91.9,91.2
Participation rate 8,Males,55 to 59 years,2019,80.5,75.6,80.7,76.2,76.1,80.3,80.1,80.8,83.9,82.6,81.8
Participation rate 8,Males,55 to 59 years,2020,80.4,69.7,77.2,74.1,77,80.2,80.2,83.3,81.4,85.6,80
Participation rate 8,Males,55 to 59 years,2021,82.2,74,82.1,74.7,75.7,82.3,82.6,82.8,83.5,84.5,82.6
Participation rate 8,Males,60 to 64 years,2019,63.5,54.6,72.2,55.3,60.9,59.1,64.5,66,66.7,69.9,65.1
Participation rate 8,Males,60 to 64 years,2020,63.1,55.6,64.8,51.9,59.1,59.6,64.1,67.8,65.7,70.8,63.2
Participation rate 8,Males,60 to 64 years,2021,64.7,52.9,70.4,60.4,59.7,61.5,66.8,65.5,64.5,67.4,65.9
Participation rate 8,Males,65 years and over,2019,19.2,15.5,24.8,16.1,16.1,15.9,19.3,21.7,27.6,25.8,19.8
Participation rate 8,Males,65 years and over,2020,18.5,12,26.1,16.6,16,14.4,19.4,21.3,26.6,22.7,20
Participation rate 8,Males,65 years and over,2021,18.9,14.5,25.2,17.4,15.7,15.6,20,19.9,23.4,21.9,19.6
Participation rate 8,Males,65 to 69 years,2019,34,28.1,41.7,27.7,26.6,28.8,34.4,36.2,44.9,43.6,36
Participation rate 8,Males,65 to 69 years,2020,32.9,22.2,45.8,27.4,28.3,25.9,35.7,36.3,38.8,36.3,36.3
Participation rate 8,Males,65 to 69 years,2021,33.8,27.8,42.9,31.5,26.5,27.9,36.9,35,34.3,36.9,35.9
Participation rate 8,Males,70 years and over,2019,11.5,7.9,14.6,9.9,10.4,9.1,11.8,13.8,18.1,15.4,11.6
Participation rate 8,Males,70 years and over,2020,11.1,6.3,16,10.9,9.6,8.4,11.3,13.4,19.9,14.7,11.9
Participation rate 8,Males,70 years and over,2021,11.3,7.7,17.3,10.3,10.1,9.3,11.8,11.9,17.3,13,11.6
Participation rate 8,Females,15 years and over,2019,61.3,54,62.7,59,57.7,61.1,60.4,61.1,63,65.5,62.1
Participation rate 8,Females,15 years and over,2020,59.6,52.8,61,57,56.6,60,58.9,59.9,61.2,62.8,59.4
Participation rate 8,Females,15 years and over,2021,60.6,53.3,59.9,58.7,57.8,60.1,60.2,61.4,61.8,64.3,60.9
Participation rate 8,Females,15 to 24 years,2019,65.4,59.6,69.8,71.3,65.3,71.6,61.6,66.2,63.3,64,67.9
Participation rate 8,Females,15 to 24 years,2020,61.7,61,64.3,63,62.3,69.3,58.6,63.5,62.7,61.1,59.3
Participation rate 8,Females,15 to 24 years,2021,63.8,61.2,64.6,69.5,67.1,69.5,60.2,67.1,63.7,62.2,65.7
Participation rate 8,Females,25 years and over,2019,60.6,53.2,61.4,57.2,56.6,59.6,60.2,60.2,62.9,65.7,61.2
Participation rate 8,Females,25 years and over,2020,59.2,51.8,60.5,56.2,55.8,58.7,59,59.2,60.9,63.1,59.4
Participation rate 8,Females,25 years and over,2021,60.1,52.3,59.1,57.2,56.5,58.7,60.2,60.4,61.5,64.7,60.1
Participation rate 8,Females,25 to 44 years,2019,83.4,81.3,86.6,85.4,85.1,86.7,81.6,80.1,83.2,82.3,84.7
Participation rate 8,Females,25 to 44 years,2020,82.3,82.7,84.8,85.6,84,86.5,80.4,79.7,81.7,81.2,81.7
Participation rate 8,Females,25 to 44 years,2021,83.9,82.9,86.6,85.5,86.5,86.8,82.8,82.2,83.6,81.3,84.8
Participation rate 8,Females,45 to 64 years,2019,71.5,64.4,74.9,69,69.6,71,71.5,71.9,73.7,73.7,71.5
Participation rate 8,Females,45 to 64 years,2020,70.4,62.8,75.3,67,69.4,70.4,70.6,70.6,72.3,71,70.9
Participation rate 8,Females,45 to 64 years,2021,72.2,64.7,72.1,70.2,70.5,72.1,72.2,72.2,73.4,75.1,71.7
Participation rate 8,Females,45 years and over,2019,47.1,41,49.1,43.9,43.8,44.7,47.5,47.3,49.5,52.7,47.8
Participation rate 8,Females,45 years and over,2020,45.6,38.8,48.4,42.1,43.3,43.4,46.2,45.9,47.2,49.1,46.5
Participation rate 8,Females,45 years and over,2021,46.1,39.5,45.5,43.6,43.3,43.5,46.7,46.3,47.1,52,46
Participation rate 8,Females,25 to 54 years,2019,83.5,79.8,85.6,84.7,84.5,86.8,81.9,81,83.6,82.5,84.1
Participation rate 8,Females,25 to 54 years,2020,82.3,81.3,86.1,84.3,83.9,86.3,80.4,80.7,82.7,81.3,82.1
Participation rate 8,Females,25 to 54 years,2021,83.9,81.8,85.5,85.2,86,86.9,82.8,82.8,84.2,82.1,83.7
Participation rate 8,Females,55 years and over,2019,32.3,26.5,35.7,29.7,29.3,29.3,32.7,32.6,36,38.1,33.5
Participation rate 8,Females,55 years and over,2020,31.1,23.4,33.9,28.3,29.1,28.3,32.3,31.2,33,34,32.3
Participation rate 8,Females,55 years and over,2021,31.7,24.9,32.1,30,29.1,28.4,32.6,31.5,32.9,37.3,32.5
Participation rate 8,Females,15 to 64 years,2019,75.2,69.7,78.3,75.5,74.5,77.5,73.7,74.2,75.9,75.9,76.2
Participation rate 8,Females,15 to 64 years,2020,73.8,69.5,76.8,73.4,73.6,76.8,72.4,73.1,74.6,73.9,73.3
Participation rate 8,Females,15 to 64 years,2021,75.6,70.6,76.3,76,75.8,77.7,74.4,75.4,76,75.6,76.1
Participation rate 8,Females,15 to 19 years,2019,52,44.6,57.8,62.2,54.8,61.1,48.6,51.7,48.9,46.8,52.5
Participation rate 8,Females,15 to 19 years,2020,49.1,50.4,48.9,48.6,54.5,58.9,44.5,50.5,49.2,48,47.8
Participation rate 8,Females,15 to 19 years,2021,51,49.6,54.3,55.1,57.6,58.6,46,53.5,50.9,48.7,54.3
Participation rate 8,Females,20 to 24 years,2019,76.9,74.1,82.4,79,76.5,80.6,72.7,79.6,77.1,80.1,80.8
Participation rate 8,Females,20 to 24 years,2020,72.6,71.9,77.4,75.1,69.8,78.3,70.5,75.4,75.7,73.3,68.7
Participation rate 8,Females,20 to 24 years,2021,75,72.4,73.6,81.8,75.9,79.2,72.2,79.4,76.1,75.3,75.1
Participation rate 8,Females,25 to 29 years,2019,84.5,79,84.8,82.4,85.6,86.9,83.9,78.3,82.5,83.8,85.7
Participation rate 8,Females,25 to 29 years,2020,82.1,77,83.3,84.6,85.6,86.1,80.9,78.8,80.1,81.6,80.7
Participation rate 8,Females,25 to 29 years,2021,84.1,79.5,84.3,82.3,84.1,86.3,83,81.4,79.9,82.5,87.3
Participation rate 8,Females,30 to 34 years,2019,81.7,79.2,86.7,84.9,83.2,85.6,79.4,78.2,80.2,79.6,84.8
Participation rate 8,Females,30 to 34 years,2020,82.2,84.6,84.8,85,80.2,85.4,81.8,77.2,78.2,80.2,82
Participation rate 8,Females,30 to 34 years,2021,83.9,84.4,91.5,88.3,85.4,85.2,84.1,79.4,83.4,80.1,85.1
Participation rate 8,Females,35 to 39 years,2019,82.3,80.3,85.4,86.5,84.5,86.6,78.8,81.4,84.4,81.8,84.2
Participation rate 8,Females,35 to 39 years,2020,81.9,84.4,86,86,84.3,88.4,78.3,80,84.5,80.8,81
Participation rate 8,Females,35 to 39 years,2021,82.9,83.1,85.1,85.8,87.7,87,81,82.2,85.8,79.7,83.5
Participation rate 8,Females,40 to 44 years,2019,85.1,86.6,91.7,88.5,87.1,87.6,83.9,82.8,86.1,84.3,84
Participation rate 8,Females,40 to 44 years,2020,83,84,87,86.5,85.7,86.1,80.7,82.5,84,82.4,83.1
Participation rate 8,Females,40 to 44 years,2021,84.7,85.4,87.8,86.1,88.6,88.4,83.1,85.4,84.9,83.2,83.4
Participation rate 8,Females,45 to 49 years,2019,85.4,81.9,86,85.2,85.3,89.6,84.1,82.8,85.7,84.7,84.3
Participation rate 8,Females,45 to 49 years,2020,83.7,82,88,82.1,83.1,87.5,81,83.6,87.6,82.9,85.9
Participation rate 8,Females,45 to 49 years,2021,84.7,82.2,82.7,84.6,87,87.4,83.7,84.5,86.6,83.7,83.5
Participation rate 8,Females,50 to 54 years,2019,82.2,74,83.3,81.8,82,84.5,81.5,83,83.6,81.2,81.8
Participation rate 8,Females,50 to 54 years,2020,81.3,76.6,87,81.9,84.8,84.4,80.1,82.5,82.7,80.1,80.1
Participation rate 8,Females,50 to 54 years,2021,83.1,78.6,80.8,84.3,83.7,87.2,81.8,84,84.4,84.4,79.4
Participation rate 8,Females,55 to 59 years,2019,70.3,63.1,75.4,65.9,68.9,70.4,69.6,73.9,73.2,72.7,70.9
Participation rate 8,Females,55 to 59 years,2020,70.4,61.8,73.8,68.3,67.8,69.7,71.4,72.6,71.8,70,70.3
Participation rate 8,Females,55 to 59 years,2021,72,62.5,74.6,68.7,68.8,72.9,71,70.8,74.9,75.9,72.2
Participation rate 8,Females,60 to 64 years,2019,49.1,41.1,56.9,47.6,45.4,43.9,50.7,47.6,54.8,55.1,50.3
Participation rate 8,Females,60 to 64 years,2020,47.9,34.1,55.2,40.8,46.6,44.6,50.1,44.9,50.3,50.3,49
Participation rate 8,Females,60 to 64 years,2021,51.2,39.1,50.8,48.6,47.6,45.8,53.5,50.7,51.3,55.9,53.3
Participation rate 8,Females,65 years and over,2019,10.6,7,12.7,9.2,8.6,8.2,11,10.2,13.6,14.1,12.3
Participation rate 8,Females,65 years and over,2020,9.7,5.4,11.7,9.2,9,7.3,10.3,9.9,11.7,10.7,11.7
Participation rate 8,Females,65 years and over,2021,9.8,6.4,10.1,9.8,9,6.8,10.6,9.7,11.1,13.4,10.7
Participation rate 8,Females,65 to 69 years,2019,22.7,14.6,25.5,19.9,17.2,18.2,23.5,22.5,27.9,29.2,25.3
Participation rate 8,Females,65 to 69 years,2020,20.3,11.9,21.2,20.6,18.1,16.6,22.3,20.2,22.3,19.3,22.8
Participation rate 8,Females,65 to 69 years,2021,21.6,12.8,20.8,20.9,19.5,16.9,23.7,20,19.8,26.6,22.6
Participation rate 8,Females,70 years and over,2019,5,3,6.6,4.1,4.4,3.6,5.4,4.2,7,6.3,6
Participation rate 8,Females,70 years and over,2020,4.8,2.1,7.2,4,4.6,3.1,5,5.1,6.7,6.2,6.4
Participation rate 8,Females,70 years and over,2021,4.4,3.2,5.2,4.7,4.1,2.3,4.8,4.9,6.7,6.5,5.2
Employment rate 9,Both sexes,15 years and over,2019,61.9,50.9,60.8,57.2,56.2,61.5,61.2,63,64.6,66,62.9
Employment rate 9,Both sexes,15 years and over,2020,58,48,57.9,54,54.4,58.1,57.5,60.2,61.3,60.7,57.9
Employment rate 9,Both sexes,15 years and over,2021,60.2,49.4,59.1,56.4,55.4,60.1,59.7,62.1,62.7,63.2,61.1
Employment rate 9,Both sexes,15 to 24 years,2019,57.8,48.9,63.2,60.6,58.2,64.2,54.2,59.2,57.6,56.6,60
Employment rate 9,Both sexes,15 to 24 years,2020,49.5,47.8,54.1,53.2,53.5,57,45.8,53,52.4,46.7,49.2
Employment rate 9,Both sexes,15 to 24 years,2021,55.2,51.5,58.4,58.9,59.4,61.9,50.9,59.2,57.7,52.6,58.1
Employment rate 9,Both sexes,25 years and over,2019,62.5,51.2,60.4,56.7,55.9,61.1,62.5,63.8,65.9,67.6,63.4
Employment rate 9,Both sexes,25 years and over,2020,59.4,48.1,58.6,54.2,54.5,58.3,59.6,61.6,62.9,63.2,59.4
Employment rate 9,Both sexes,25 years and over,2021,61.1,49.1,59.3,56.1,54.8,59.9,61.3,62.7,63.7,65,61.5
Employment rate 9,Both sexes,25 to 44 years,2019,83,76.6,82.7,81.3,81.2,84.9,81.6,82.2,83.7,82.8,84.8
Employment rate 9,Both sexes,25 to 44 years,2020,79,74.1,78.4,78.9,78.6,81.9,77.7,79.4,80.5,78.2,79
Employment rate 9,Both sexes,25 to 44 years,2021,82.2,76,82.4,81.3,80.9,84.5,81,82.3,84,80.9,83.8
Employment rate 9,Both sexes,45 to 64 years,2019,72.7,60.5,71.3,68.1,67.5,72.2,73.2,74,75,74.4,73.4
Employment rate 9,Both sexes,45 to 64 years,2020,70,58.1,71,64.3,67.1,69.7,70.5,72.4,72.6,70.8,70.2
Employment rate 9,Both sexes,45 to 64 years,2021,72.1,59.5,70.8,67.8,67.6,72.2,72.3,73.7,73.3,73.5,72.5
Employment rate 9,Both sexes,45 years and over,2019,50,40.1,49.1,44.9,44.4,47.6,50.7,51.3,53.6,55.5,50.5
Employment rate 9,Both sexes,45 years and over,2020,47.3,36.9,48.4,42.1,43.5,44.9,48.3,49.6,50.8,51.3,47.6
Employment rate 9,Both sexes,45 years and over,2021,48.1,37.9,47.3,43.8,43.1,46,48.9,49.6,49.9,52.7,48.1
Employment rate 9,Both sexes,25 to 54 years,2019,83.2,74.8,81.6,81.2,80.7,85.1,82.1,82.7,83.8,83,84.4
Employment rate 9,Both sexes,25 to 54 years,2020,79.5,73.5,79.6,78.7,79.3,82.1,78.3,80.3,81.4,78.6,79.4
Employment rate 9,Both sexes,25 to 54 years,2021,82.3,75.1,81.7,81.1,80.9,84.7,81.2,82.8,83.9,81.2,83.3
Employment rate 9,Both sexes,55 years and over,2019,35.9,27.3,37,31.6,31.1,32.9,36.6,37.6,41.3,41.4,36.9
Employment rate 9,Both sexes,55 years and over,2020,33.9,23.4,35.8,29.5,30.2,30.9,35.2,36.1,38.1,37.5,34.6
Employment rate 9,Both sexes,55 years and over,2021,34.5,24.9,35.2,31.3,29.9,31.8,35.8,35.6,37,38.7,35
Employment rate 9,Both sexes,15 to 64 years,2019,74.2,64.3,73.8,71.6,70.9,76,72.9,74.4,75.4,75,75.6
Employment rate 9,Both sexes,15 to 64 years,2020,70,62,70.4,67.8,69,72.6,68.7,71.5,72.2,69.8,70
Employment rate 9,Both sexes,15 to 64 years,2021,73.2,64,72.6,71.3,71.1,75.5,71.8,74.4,74.9,73.1,74.6
Employment rate 9,Both sexes,15 to 19 years,2019,43.2,34.1,48.4,47.4,45.4,52.3,39.9,42.8,41.8,38.1,44.3
Employment rate 9,Both sexes,15 to 19 years,2020,36.5,34.5,39.1,39,44.3,45.4,32.4,39.9,37.2,32.8,36.7
Employment rate 9,Both sexes,15 to 19 years,2021,41.7,38.5,44.1,42.8,49.9,51.1,36.7,42.8,43.7,37.7,44.7
Employment rate 9,Both sexes,20 to 24 years,2019,70.2,63,76.4,71.7,70.4,74.3,66.1,73.9,72.4,73.5,72.8
Employment rate 9,Both sexes,20 to 24 years,2020,60.5,60.4,65.8,64.9,62.3,66.9,57,64.6,66.5,59.5,59.2
Employment rate 9,Both sexes,20 to 24 years,2021,66.8,64,69,72.2,68.2,71.5,62.7,73.5,70.9,66.7,68.8
Employment rate 9,Both sexes,25 to 29 years,2019,81.1,72.2,81.4,78.2,77.6,82.3,80.3,79.2,80.9,81,83.3
Employment rate 9,Both sexes,25 to 29 years,2020,75.4,70,74.5,72.3,76.2,79,74,76.1,77,74.4,75
Employment rate 9,Both sexes,25 to 29 years,2021,79.5,72,79.6,78.8,77.9,81.7,77.8,78.5,80,80.2,81.9
Employment rate 9,Both sexes,30 to 34 years,2019,82.5,76.9,80.7,81.8,81,84.2,81.3,81.3,82,81.4,85.7
Employment rate 9,Both sexes,30 to 34 years,2020,79.4,71.9,80,79.5,77.8,82.2,78.4,78.4,78.4,79.1,79.9
